ts_code,list_date,delist_date
AMNF,19900427,
AMNL,19750131,
AMNP,20120725,
AMNTF,20160901,
AMNZF,20140113,
AMOCF,20190508,
AMOO,20150126,
AMOSF,20200323,
AMOT,19721226,
AMOV,20010207,
AMOVF,20140113,
AMP,20050915,
AMPE,20080314,
AMPG,20130603,
AMPH,20140625,
AMPY,20161027,
AMRA,20001101,
AMRB,19900928,
AMRC,20100722,
AMRCF,20190604,
AMRH,20171117,
AMRK,20140317,
AMRN,19930401,
AMRPF,20181102,
AMRR,20110907,
AMRS,20100928,
AMRT,19770328,
AMRU,19600101,
AMRX,19951219,
AMRYY,20191231,
AMRZF,20160615,
AMS,19840703,
AMSA,20040317,
AMSC,19911212,
AMSF,20051111,
AMSIY,19940922,
AMSLF,20180525,
AMSSY,20170327,
AMSU,20020911,
AMSWA,19830228,
AMSYF,20080409,
AMT,19980605,
AMTA,19840511,
AMTB,20180829,
AMTBB,20180829,
AMTD,19970304,
AMTI,20200605,
AMTX,20041208,
AMTY,20120725,
AMVGF,20040317,
AMVMF,20070628,
AMWD,19860718,
AMWK,19981224,
AMX,20010205,
AMXEF,20140113,
AMXVF,20140113,
AMYUF,20200316,
AMYZF,20140113,
AMZN,19970409,
AN,19900511,
ANAB,20170126,
ANAS,19980706,
ANAT,19721214,
ANAV,20141224,
ANCE,20110311,
ANCN,20190212,
ANCSQ,19980610,
ANCTF,19600101,
ANCUF,20061228,
ANDA,20190306,
ANDAU,20190129,
ANDC,20131218,
ANDE,19960220,
ANDGF,20140711,
ANDHF,20200213,
ANDI,20100512,
ANDL,20050712,
ANDR,19620702,
ANET,20140607,
ANEWF,20140113,
ANF,19960926,
ANFC,20100702,
ANFGF,20140113,
ANGBF,19800326,
ANGCF,20140113,
ANGGF,20140113,
ANGI,20111117,
ANGO,20040309,
ANGPY,19770415,
ANGUF,19600101,
ANGVF,20200622,
ANH,19980312,
ANHGY,20160428,
ANHPRB,20180319,
ANHPRC,20191111,
ANIK,19930524,
ANIOY,20081023,
ANIP,20010724,
ANIX,20131225,
ANKOF,20130122,
ANLBF,20110202,
ANLDF,20120223,
ANMP,20141124,
ANNMF,20160727,
ANNSF,20150504,
ANPC,20200130,
ANPCF,20140123,
ANPCY,20150428,
ANPDF,20070622,
ANPDY,20081015,
ANPFF,20141231,
ANPOF,20180413,
