open,high,low,close,Adj Close,volume,datetime,MA10,MA20,MA50,MA150,MA200,ticker
33.36,33.82,31.43,31.53,31.530000686645508,1336800.0,2022-07-11,31.98,30.27,29.32,27.78,28.14,EVH
66.12,66.54,65.45,65.76,65.76000213623047,229400.0,2022-07-11,65.88,64.04,60.5,56.63,58.79,HAE
480.4,490.77,480.4,487.03,487.0299987792969,805700.0,2022-07-11,473.91,456.34,447.25,436.57,435.5,HUM
330.61,332.68,329.43,331.07,331.07000732421875,1342600.0,2022-07-11,326.36,312.85,304.95,278.54,270.68,LLY
514.86,521.47,511.81,516.95,516.9500122070312,1743600.0,2022-07-11,513.13,494.27,493.95,492.19,477.54,UNH
116.42,117.15,115.68,116.73,116.7300033569336,91300.0,2022-07-11,112.15,110.01,108.18,100.64,101.43,USPH
91.93,92.58,90.56,91.93,91.93000030517578,875900.0,2022-07-11,90.69,87.28,85.21,84.18,84.09,BAH
56.46,56.98,55.79,55.94,55.93999862670898,358400.0,2022-07-11,55.11,53.16,51.54,50.44,51.44,BWXT
94.82,95.34,93.94,94.8,94.8000030517578,86800.0,2022-07-11,93.98,91.91,88.58,90.73,87.99,DY
188.26,190.43,187.94,188.74,188.7400054931641,251200.0,2022-07-11,182.06,174.43,168.58,157.04,153.65,FCN
214.59,217.6,213.03,215.83,215.8300018310547,191600.0,2022-07-11,216.31,211.94,210.85,201.25,200.15,HII
478.62,481.77,472.6,475.51,475.510009765625,497200.0,2022-07-11,473.98,465.62,462.33,429.66,414.6,NOC
40.71,41.08,40.3,40.6,40.59999847412109,303300.0,2022-07-11,40.57,39.27,38.45,35.99,35.8,PSN
130.72,132.0,130.23,131.15,131.14999389648438,589100.0,2022-07-11,127.21,124.28,120.88,116.85,116.77,PWR
73.42,73.89,72.92,73.7,73.69999694824219,1042400.0,2022-07-11,73.18,71.52,69.87,67.7,68.09,ADC
22.21,22.21,21.83,22.01,22.01000022888184,35800.0,2022-07-11,21.85,21.75,21.55,22.03,21.43,BRT
28.81,28.93,28.7,28.81,28.809999465942383,837500.0,2022-07-11,28.8,27.56,27.19,25.92,25.01,CDR
38.54,38.81,38.32,38.7,38.70000076293945,231400.0,2022-07-11,38.55,38.07,37.25,35.87,35.2,LTC
31.12,31.53,30.89,31.44,31.440000534057617,6081500.0,2022-07-11,30.68,29.95,29.82,28.81,28.91,VICI
71.62,71.7,68.05,68.84,68.83999633789062,1652100.0,2022-07-11,70.65,66.06,54.6,46.27,50.78,DQ
140.62,141.87,140.13,141.0,141.0,3904700.0,2022-07-11,140.57,138.79,136.91,132.19,130.56,IBM
73.26,73.62,69.1,70.26,70.26000213623047,1747800.0,2022-07-11,68.87,63.99,59.26,50.98,51.59,JKS
15.72,15.73,15.7,15.71,15.710000038146973,611900.0,2022-07-11,15.7,15.59,15.34,15.27,14.4,NPTN
39.77,39.79,39.7,39.77,39.77000045776367,509000.0,2022-07-11,39.71,39.64,39.62,33.59,31.99,POLY
93.25,94.27,92.97,93.17,92.79117584228516,132200.0,2022-07-11,93.25,91.13,87.54,86.66,87.02,SAIC
33.67,33.77,33.66,33.71,33.709999084472656,1055700.0,2022-07-11,33.62,33.43,32.98,29.39,28.42,SWCH
52.26,52.8,51.8,52.44,52.43999862670898,156800.0,2022-07-11,52.93,52.37,52.03,50.5,49.4,NWN
57.9,58.88,57.28,58.16,58.15999984741211,37100.0,2022-07-11,58.14,55.86,55.35,50.83,48.83,UTL
31.69,31.74,31.65,31.7,31.700000762939453,200800.0,2022-07-11,31.5,31.28,31.17,31.45,29.27,GCP
19.97,20.34,19.86,20.32,20.31999969482422,2431500.0,2022-07-11,15.71,14.71,14.59,13.79,13.39,RFP
20.71,20.86,20.63,20.66,20.65999984741211,23326400.0,2022-07-11,20.95,20.45,20.39,19.12,19.15,T
63.39,63.76,62.86,62.96,62.959999084472656,419100.0,2022-07-11,62.66,62.7,62.25,57.37,57.26,WWE
38.15,38.15,36.92,36.93,36.93000030517578,411800.0,2022-07-11,36.61,34.55,32.79,29.56,30.91,ATGE
252.79,255.5,252.17,253.88,253.8800048828125,1021200.0,2022-07-11,249.4,242.73,231.81,224.41,222.93,DG
75.79,76.35,75.59,75.76,75.76000213623047,2232800.0,2022-07-11,74.54,71.1,70.45,68.51,66.91,GIS
72.81,73.46,72.39,72.76,72.76000213623047,2879600.0,2022-07-11,71.97,70.32,70.11,66.43,65.51,K
74.68,75.24,74.43,74.63,74.62999725341797,1011400.0,2022-07-11,73.08,69.87,67.05,63.79,62.25,LW
82.66,83.73,82.6,82.81,82.80999755859375,229800.0,2022-07-11,83.02,79.96,79.52,73.48,72.33,POST
41.67,42.35,41.67,41.9,41.900001525878906,220900.0,2022-07-11,41.92,40.6,38.57,37.74,37.87,THS
35.11,35.28,35.0,35.04,35.040000915527344,36500.0,2022-07-11,35.37,34.14,33.44,34.15,33.33,TR
2188.24,2189.23,2160.01,2160.01,2160.010009765625,129000.0,2022-07-11,2156.24,2103.3,2035.66,2012.26,1955.08,AZO
37.0,37.35,36.77,36.93,36.93000030517578,1392000.0,2022-07-11,36.11,35.09,32.94,27.41,26.72,HRB
36.3,36.34,36.27,36.27,36.27000045776367,711200.0,2022-07-11,36.28,36.17,36.09,31.85,30.22,MTOR
19.15,19.21,18.96,19.06,19.059999465942383,2365600.0,2022-07-11,17.86,16.87,16.67,15.08,14.66,TEN
