,Ticker,Sector,Exchange
541,WRAP,Technology,NASDAQ
542,WSTG,Technology,NASDAQ
543,WTRH,Technology,NASDAQ
544,XELA,Technology,NASDAQ
545,XM,Technology,NASDAQ
546,XPER,Technology,NASDAQ
547,XRX,Technology,NASDAQ
548,ZBRA,Technology,NASDAQ
549,ZENV,Technology,NASDAQ
550,ZI,Technology,NASDAQ
551,ZS,Technology,NASDAQ
552,AMTX,Energy,NASDAQ
553,APA,Energy,NASDAQ
554,AREC,Energy,NASDAQ
555,ARLP,Energy,NASDAQ
556,BKEP,Energy,NASDAQ
557,BKR,Energy,NASDAQ
558,BOOM,Energy,NASDAQ
559,BROG,Energy,NASDAQ
560,BRY,Energy,NASDAQ
561,CCLP,Energy,NASDAQ
562,CDEV,Energy,NASDAQ
563,CHK,Energy,NASDAQ
564,CHX,Energy,NASDAQ
565,CLMT,Energy,NASDAQ
566,CLNE,Energy,NASDAQ
567,DMLP,Energy,NASDAQ
568,DWSN,Energy,NASDAQ
569,EPSN,Energy,NASDAQ
570,FANG,Energy,NASDAQ
571,GASS,Energy,NASDAQ
572,GEOS,Energy,NASDAQ
573,GIFI,Energy,NASDAQ
574,GLNG,Energy,NASDAQ
575,GPP,Energy,NASDAQ
576,HNRG,Energy,NASDAQ
577,HPK,Energy,NASDAQ
578,IMPP,Energy,NASDAQ
579,KLXE,Energy,NASDAQ
580,KNTK,Energy,NASDAQ
581,MARPS,Energy,NASDAQ
582,MMLP,Energy,NASDAQ
583,MTRX,Energy,NASDAQ
584,NCSM,Energy,NASDAQ
585,NESR,Energy,NASDAQ
586,NEXT,Energy,NASDAQ
587,PAA,Energy,NASDAQ
588,PAGP,Energy,NASDAQ
589,PDCE,Energy,NASDAQ
590,PFHC,Energy,NASDAQ
591,PFIE,Energy,NASDAQ
592,PNRG,Energy,NASDAQ
593,PTEN,Energy,NASDAQ
594,RCON,Energy,NASDAQ
595,ROCC,Energy,NASDAQ
596,RTLR,Energy,NASDAQ
597,SLNG,Energy,NASDAQ
598,SND,Energy,NASDAQ
599,TGA,Energy,NASDAQ
600,TH,Energy,NASDAQ
601,TRMD,Energy,NASDAQ
602,TUSK,Energy,NASDAQ
603,UROY,Energy,NASDAQ
604,USEG,Energy,NASDAQ
605,USWS,Energy,NASDAQ
606,VIVK,Energy,NASDAQ
607,VNOM,Energy,NASDAQ
608,VTNR,Energy,NASDAQ
609,WFRD,Energy,NASDAQ
610,ZEST,Energy,NASDAQ
611,ALTO,Basic_Materials,NASDAQ
612,AMRS,Basic_Materials,NASDAQ
613,ASTL,Basic_Materials,NASDAQ
614,BCPC,Basic_Materials,NASDAQ
615,BIOX,Basic_Materials,NASDAQ
616,CENX,Basic_Materials,NASDAQ
617,CHNR,Basic_Materials,NASDAQ
618,CNEY,Basic_Materials,NASDAQ
619,CRKN,Basic_Materials,NASDAQ
620,ELBM,Basic_Materials,NASDAQ
621,FEAM,Basic_Materials,NASDAQ
622,GEVO,Basic_Materials,NASDAQ
623,GPRE,Basic_Materials,NASDAQ
624,GSM,Basic_Materials,NASDAQ
625,GURE,Basic_Materials,NASDAQ
626,HDSN,Basic_Materials,NASDAQ
627,HUDI,Basic_Materials,NASDAQ
628,HWKN,Basic_Materials,NASDAQ
629,HYMC,Basic_Materials,NASDAQ
630,HYMCL,Basic_Materials,NASDAQ
631,IOSP,Basic_Materials,NASDAQ
632,JCTCF,Basic_Materials,NASDAQ
633,KALU,Basic_Materials,NASDAQ
634,LGO,Basic_Materials,NASDAQ
635,LITM,Basic_Materials,NASDAQ
636,LOOP,Basic_Materials,NASDAQ
637,LWLG,Basic_Materials,NASDAQ
638,MBII,Basic_Materials,NASDAQ
639,MEOH,Basic_Materials,NASDAQ
640,MERC,Basic_Materials,NASDAQ
641,METC,Basic_Materials,NASDAQ
642,MKD,Basic_Materials,NASDAQ
643,NTIC,Basic_Materials,NASDAQ
644,ORGN,Basic_Materials,NASDAQ
645,PAAS,Basic_Materials,NASDAQ
646,PLL,Basic_Materials,NASDAQ
647,PPTA,Basic_Materials,NASDAQ
648,RETO,Basic_Materials,NASDAQ
649,RGLD,Basic_Materials,NASDAQ
650,RKDA,Basic_Materials,NASDAQ
651,SCHN,Basic_Materials,NASDAQ
