,ts_code,symbol,name,area,industry
1478,603890.SH,603890,春秋电子,江苏,元器件
1479,603893.SH,603893,瑞芯微,福建,半导体
1480,603895.SH,603895,天永智能,上海,专用机械
1481,603896.SH,603896,寿仙谷,浙江,中成药
1482,603897.SH,603897,长城科技,浙江,电气设备
1483,603898.SH,603898,好莱客,广东,家居用品
1484,603899.SH,603899,晨光股份,上海,文教休闲
1485,603900.SH,603900,莱绅通灵,江苏,服饰
1486,603901.SH,603901,永创智能,浙江,专用机械
1487,603903.SH,603903,中持股份,北京,环境保护
1488,603906.SH,603906,龙蟠科技,江苏,化工原料
1489,603908.SH,603908,牧高笛,浙江,纺织
1490,603909.SH,603909,建发合诚,福建,建筑工程
1491,603912.SH,603912,佳力图,江苏,专用机械
1492,603915.SH,603915,国茂股份,江苏,机械基件
1493,603916.SH,603916,苏博特,江苏,化工原料
1494,603917.SH,603917,合力科技,浙江,汽车配件
1495,603918.SH,603918,金桥信息,上海,软件服务
1496,603919.SH,603919,金徽酒,甘肃,白酒
1497,603920.SH,603920,世运电路,广东,元器件
1498,603922.SH,603922,金鸿顺,江苏,汽车配件
1499,603926.SH,603926,铁流股份,浙江,汽车配件
1500,603927.SH,603927,中科软,北京,软件服务
1501,603928.SH,603928,兴业股份,江苏,化工原料
1502,603929.SH,603929,亚翔集成,江苏,装修装饰
1503,603931.SH,603931,格林达,浙江,化工原料
1504,603933.SH,603933,睿能科技,福建,商贸代理
1505,603936.SH,603936,博敏电子,广东,元器件
1506,603937.SH,603937,丽岛新材,江苏,铝
1507,603938.SH,603938,三孚股份,河北,化工原料
1508,603939.SH,603939,益丰药房,湖南,医药商业
1509,603948.SH,603948,建业股份,浙江,化工原料
1510,603949.SH,603949,雪龙集团,浙江,汽车配件
1511,603950.SH,603950,长源东谷,湖北,汽车配件
1512,603955.SH,603955,大千生态,江苏,环境保护
1513,603956.SH,603956,威派格,上海,专用机械
1514,603958.SH,603958,哈森股份,江苏,服饰
1515,603959.SH,603959,百利科技,湖南,建筑工程
1516,603960.SH,603960,克来机电,上海,汽车配件
1517,603963.SH,603963,大理药业,云南,化学制药
1518,603966.SH,603966,法兰泰克,江苏,机械基件
1519,603967.SH,603967,中创物流,山东,仓储物流
1520,603968.SH,603968,醋化股份,江苏,化工原料
1521,603969.SH,603969,银龙股份,天津,其他建材
1522,603970.SH,603970,中农立华,北京,农药化肥
1523,603976.SH,603976,正川股份,重庆,医疗保健
1524,603977.SH,603977,国泰集团,江西,化工原料
1525,603978.SH,603978,深圳新星,深圳,小金属
1526,603979.SH,603979,金诚信,北京,建筑工程
1527,603980.SH,603980,吉华集团,浙江,染料涂料
1528,603982.SH,603982,泉峰汽车,江苏,汽车配件
1529,603983.SH,603983,丸美股份,广东,日用化工
1530,603985.SH,603985,恒润股份,江苏,机械基件
1531,603986.SH,603986,兆易创新,北京,半导体
1532,603987.SH,603987,康德莱,上海,医疗保健
1533,603988.SH,603988,中电电机,江苏,电气设备
1534,603989.SH,603989,艾华集团,湖南,元器件
1535,603990.SH,603990,麦迪科技,江苏,软件服务
1536,603991.SH,603991,至正股份,深圳,塑料
1537,603992.SH,603992,松霖科技,福建,家居用品
1538,603993.SH,603993,洛阳钼业,河南,小金属
1539,603995.SH,603995,甬金股份,浙江,特种钢
1540,603997.SH,603997,继峰股份,浙江,汽车配件
1541,603998.SH,603998,方盛制药,湖南,中成药
1542,603999.SH,603999,读者传媒,甘肃,出版业
1543,605001.SH,605001,威奥股份,山东,运输设备
1544,605003.SH,605003,众望布艺,浙江,纺织
1545,605005.SH,605005,合兴股份,浙江,汽车配件
1546,605006.SH,605006,山东玻纤,山东,玻璃
1547,605007.SH,605007,五洲特纸,浙江,造纸
1548,605008.SH,605008,长鸿高科,浙江,橡胶
1549,605009.SH,605009,豪悦护理,浙江,造纸
1550,605011.SH,605011,杭州热电,浙江,供气供热
1551,605016.SH,605016,百龙创园,山东,食品
1552,605018.SH,605018,长华股份,浙江,汽车配件
1553,605020.SH,605020,永和股份,浙江,化工原料
1554,605028.SH,605028,世茂能源,浙江,供气供热
1555,605033.SH,605033,美邦股份,陕西,农药化肥
1556,605050.SH,605050,福然德,上海,仓储物流
1557,605055.SH,605055,迎丰股份,浙江,纺织
1558,605056.SH,605056,咸亨国际,浙江,电器仪表
1559,605058.SH,605058,澳弘电子,江苏,元器件
1560,605060.SH,605060,联德股份,浙江,机械基件
1561,605066.SH,605066,天正电气,浙江,电气设备
1562,605068.SH,605068,明新旭腾,浙江,汽车配件
1563,605069.SH,605069,正和生态,北京,环境保护
1564,605077.SH,605077,华康股份,浙江,食品
1565,605080.SH,605080,浙江自然,浙江,纺织
1566,605081.SH,605081,太和水,上海,环境保护
1567,605086.SH,605086,龙高股份,福建,矿物制品
1568,605088.SH,605088,冠盛股份,浙江,汽车配件
1569,605089.SH,605089,味知香,江苏,食品
1570,605090.SH,605090,九丰能源,江西,供气供热
1571,605098.SH,605098,行动教育,上海,文教休闲
1572,605099.SH,605099,共创草坪,江苏,文教休闲
1573,605100.SH,605100,华丰股份,山东,机械基件
1574,605108.SH,605108,同庆楼,安徽,酒店餐饮
1575,605111.SH,605111,新洁能,江苏,半导体
1576,605116.SH,605116,奥锐特,浙江,化学制药
1577,605117.SH,605117,德业股份,浙江,家用电器
1578,605118.SH,605118,力鼎光电,福建,元器件
1579,605122.SH,605122,四方新材,重庆,水泥
1580,605123.SH,605123,派克新材,江苏,航空
1581,605128.SH,605128,上海沿浦,上海,汽车配件
1582,605133.SH,605133,嵘泰股份,江苏,汽车配件
1583,605136.SH,605136,丽人丽妆,上海,其他商业
1584,605138.SH,605138,盛泰集团,浙江,服饰
1585,605151.SH,605151,西上海,上海,汽车配件
1586,605155.SH,605155,西大门,浙江,家居用品
1587,605158.SH,605158,华达新材,浙江,钢加工
1588,605162.SH,605162,新中港,浙江,供气供热
1589,605166.SH,605166,聚合顺,浙江,化纤
1590,605167.SH,605167,利柏特,江苏,建筑工程
1591,605168.SH,605168,三人行,陕西,互联网
1592,605169.SH,605169,洪通燃气,新疆,供气供热
1593,605177.SH,605177,东亚药业,浙江,化学制药
1594,605178.SH,605178,时空科技,北京,装修装饰
1595,605179.SH,605179,一鸣食品,浙江,乳制品
1596,605180.SH,605180,华生科技,浙江,纺织
1597,605183.SH,605183,确成股份,江苏,化工原料
1598,605186.SH,605186,健麾信息,上海,医疗保健
1599,605188.SH,605188,国光连锁,江西,超市连锁
1600,605189.SH,605189,富春染织,安徽,纺织
1601,605196.SH,605196,华通线缆,河北,电气设备
1602,605198.SH,605198,德利股份,山东,软饮料
1603,605199.SH,605199,葫芦娃,海南,中成药
1604,605208.SH,605208,永茂泰,上海,铝
1605,605218.SH,605218,伟时电子,江苏,元器件
1606,605222.SH,605222,起帆电缆,上海,电气设备
1607,605228.SH,605228,神通科技,浙江,汽车配件
1608,605255.SH,605255,天普股份,浙江,汽车配件
1609,605258.SH,605258,协和电子,江苏,元器件
1610,605259.SH,605259,绿田机械,浙江,农用机械
1611,605266.SH,605266,健之佳,云南,医药商业
1612,605268.SH,605268,王力安防,浙江,家居用品
1613,605277.SH,605277,新亚电子,浙江,电气设备
1614,605286.SH,605286,同力日升,江苏,运输设备
