date,code,close,preclose,volume,isST,MA 10,MA 20,MA 50,MA 150,MA 200,VMA 20,VMA 50,volatility,volatility_max,vscore,score,total_score
2015/10/15,sz.300059,48.62,44.2,133001963,0,40.672,37.821,40.5474,52.7316,,66756623.7,81935671.44,0.076139885,0.08165364,-5,0,-5
2015/10/16,sz.300059,53.48,48.62,145711807,0,42.27,38.654,40.6028,52.81313333,,71385465.9,82138331.54,0.062164846,0.060957367,-5,0,-5
2015/10/19,sz.300059,53.09,53.48,128860474,0,43.829,39.6515,40.6866,52.89206667,,74802892.7,82131255.5,0.038224638,0.061844485,-5,0,-5
2015/10/20,sz.300059,55.72,53.09,103426705,0,45.651,40.946,40.811,52.98853333,,76814204.6,82177278.52,0.059315589,0.090405265,-5,0,-5
2015/10/21,sz.300059,50.2,55.72,128206938,0,47.073,41.8155,40.9028,53.0482,,79692482.6,82389847.88,0.078899083,0.102701736,-5,0,-5
2015/10/22,sz.300059,53.44,50.2,140053353,0,48.459,42.8565,41.003,53.12946667,,82141802.85,83653260.52,0.048048637,0.074927431,-5,0,-5
2015/10/23,sz.300059,53.45,53.44,114801087,0,49.874,43.8085,41.1638,53.2108,,83963828.95,84452024.66,0.008871272,0.053281711,-5,0,-5
2015/10/26,sz.300059,52.2,53.45,115393391,0,50.816,44.54,41.332,53.2838,,84951503.75,85770818.36,0.043079743,0.077543538,-5,0,-5
2015/10/27,sz.300059,57.42,52.2,146991076,0,52.182,45.536,41.5462,53.3916,,87333220.4,87054212.1,0.111068111,0.113897597,-5,0,-5
2015/10/28,sz.300059,55.01,57.42,137478122,0,53.263,46.4115,41.6188,53.48333333,,94207126.5,87748378.16,0.055784415,0.084459459,-5,0,-5
2015/10/29,sz.300059,55.01,55.01,106666035,0,53.902,47.287,41.6832,53.57506667,,99540428.25,87525036.82,0.009007386,0.086206897,-5,0,-5
2015/10/30,sz.300059,53.42,55.01,102281118,0,53.896,48.083,41.7646,53.73506667,50.3629,104654484.2,88238296.8,0.010740741,0.072438163,-5,0,-5
2015/11/2,sz.300059,51.42,53.42,75236320,0,53.729,48.779,41.7736,53.88173333,50.47615,108416300.2,88439869.04,0.000389105,0.05380334,1.492940818,0,1.492940818
2015/11/3,sz.300059,51.92,51.42,65993879,0,53.349,49.5,41.814,54.03173333,50.5775,111715994.1,88498936.08,0.002114165,0.031770045,2.542974874,0,2.542974874
2015/11/4,sz.300059,57.11,51.92,135963459,0,54.04,50.5565,41.9976,54.21633333,50.69855,113458391.9,89886237.42,0.071482176,0.075993696,-5,0,-5
2015/11/5,sz.300059,58.78,57.11,183670453,0,54.574,51.5165,42.2852,54.41206667,50.82355,118772637.8,91950826.68,0.001362862,0.082006369,-5,0,-5
