,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA 10,MA 20,MA 50,MA 150,MA 200,VMA 20,VMA 50,volatility,volatility_max,vscore,score,total_score
1419,300059.SZ,20160421,21.8,22.06,21.01,21.1,21.92,-0.82,-3.74,1022673.78,2208904.5581,35.76299999999994,39.78899999999998,39.08540000000006,45.97433333333331,47.72860000000001,931434.3795000005,861177.1859999986,0.03211009174311923,0.04759746146872154,-5.0,-15.600000000000001,-20.6
1420,300059.SZ,20160422,20.81,21.93,20.75,21.82,21.1,0.72,3.41,1049644.48,2261477.9211,33.69499999999994,38.65249999999999,38.71880000000005,45.89853333333331,47.46770000000001,906767.7555000006,869626.5017999986,0.048534358481499354,0.05380756953944367,-5.0,-15.600000000000001,-20.6
1421,300059.SZ,20160503,21.82,23.15,20.81,22.93,21.82,1.11,5.09,1474632.56,3291712.4879,31.658999999999942,37.61099999999998,38.397400000000054,45.82946666666665,47.207350000000005,936413.9890000004,889614.4279999987,0.05087076076993581,0.10107991360691145,-5.0,-15.600000000000001,-20.6
1422,300059.SZ,20160504,22.7,23.08,22.4,22.48,22.93,-0.45,-1.96,891228.66,2018558.6203,29.456999999999944,36.582999999999984,38.07460000000005,45.75839999999998,46.92875,945361.8740000004,900223.2181999986,0.009691629955947087,0.029462738301559783,-5.0,-12.100000000000001,-17.1
1423,300059.SZ,20160505,22.37,22.8,22.3,22.65,22.48,0.17,0.76,670802.54,1512058.0735,27.186999999999944,35.575999999999986,37.693400000000054,45.68246666666664,46.66695,934543.0095000004,895659.0341999985,0.012516763522574768,0.021929824561403508,-5.0,-9.100000000000001,-14.100000000000001
1424,300059.SZ,20160506,22.7,22.97,21.36,21.4,22.65,-1.25,-5.52,990864.87,2198904.7115,24.726999999999943,34.39749999999999,37.28960000000006,45.57979999999997,46.41995,918346.7010000006,904212.0291999985,0.05726872246696039,0.07009142359599475,-5.0,-15.600000000000001,-20.6
1425,300059.SZ,20160509,21.01,21.15,20.03,20.3,21.4,-1.1,-5.14,973426.8,1993660.265,22.227999999999945,33.197499999999984,36.867000000000054,45.46399999999997,46.20285,922555.8285000005,911125.7075999985,0.0337934316991909,0.05295508274231667,-5.0,-15.600000000000001,-20.6
1426,300059.SZ,20160510,20.3,20.59,20.13,20.37,20.3,0.07,0.34,585481.59,1191790.7446,21.879999999999946,32.06599999999999,36.43780000000006,45.35793333333331,46.01795,916448.9540000006,912525.4221999985,0.0034482758620689793,0.022340942204953904,-5.0,-7.100000000000001,-12.100000000000001
1427,300059.SZ,20160511,20.5,20.57,19.8,19.86,20.37,-0.51,-2.5,703446.12,1420818.4878,21.482999999999947,30.821999999999985,35.98460000000006,45.24486666666664,45.8018,904858.0505000006,910957.4919999983,0.03121951219512198,0.03743315508021388,-5.0,-15.600000000000001,-20.6
1428,300059.SZ,20160512,19.51,19.94,19.22,19.89,19.86,0.03,0.15,668874.94,1309113.6951,21.279999999999944,29.606499999999983,35.55440000000006,45.15653333333331,45.6062,908505.6895000007,913363.7571999984,0.019477191184008147,0.036108324974924895,-5.0,-13.600000000000001,-18.6
1429,300059.SZ,20160513,19.7,20.16,19.37,19.65,19.89,-0.24,-1.21,605094.14,1194214.7754,21.134999999999945,28.448999999999984,35.125600000000055,45.08866666666664,45.42049999999999,909724.3080000008,915896.8371999983,0.002538071065989884,0.039186507936507894,-5.0,-12.100000000000001,-17.1
1430,300059.SZ,20160516,19.65,20.29,19.46,20.18,19.65,0.53,2.7,654894.09,1306772.6549,20.970999999999947,27.33299999999998,34.78960000000006,45.00446666666664,45.24329999999999,912945.2340000008,913647.8577999984,0.02697201017811711,0.04090685066535231,-5.0,-15.600000000000001,-20.6
1431,300059.SZ,20160517,20.2,21.56,19.71,20.6,20.18,0.42,2.08,1264074.01,2599583.4408,20.737999999999946,26.198499999999978,34.46420000000006,44.92433333333331,45.09079999999999,934767.1660000008,929654.0237999983,0.01980198019801991,0.08580705009276428,-5.0,-15.600000000000001,-20.6
1432,300059.SZ,20160518,20.11,20.24,19.41,19.85,20.6,-0.75,-3.64,839879.56,1672566.1283,20.474999999999945,24.96599999999998,34.19760000000006,44.827266666666645,44.96009999999999,935321.3650000008,931217.3567999984,0.012928891098955645,0.04100790513833984,-5.0,-14.100000000000001,-19.1
1433,300059.SZ,20160519,19.85,20.95,19.83,20.07,19.85,0.22,1.11,969707.89,1976572.4719,20.216999999999945,23.701999999999977,33.909000000000056,44.71059999999998,44.80749999999999,916420.6685000008,935178.0501999984,0.011083123425692638,0.05346062052505972,-5.0,-14.100000000000001,-19.1
1434,300059.SZ,20160520,19.8,20.76,19.76,20.74,20.07,0.67,3.34,1006168.83,2053262.0596,20.150999999999947,22.43899999999998,33.598600000000054,44.598866666666645,44.632949999999994,930254.3765000006,937803.0729999985,0.04747474747474736,0.048169556840077066,-5.0,-15.600000000000001,-20.6
1435,300059.SZ,20160523,20.68,21.06,20.57,20.75,20.74,0.01,0.05,974578.63,2027663.3992,20.195999999999945,21.21199999999998,33.290600000000055,44.49733333333331,44.43079999999999,948117.6775000006,941493.0965999984,0.0033849129593810584,0.023266856600189862,-5.0,-5.1,-10.1
1436,300059.SZ,20160524,20.37,20.59,20.05,20.31,20.75,-0.44,-2.12,698734.32,1417740.5877,20.189999999999944,21.034999999999975,33.012800000000055,44.36886666666665,44.24894999999999,929062.9890000006,941012.2575999984,0.002945508100147387,0.026226323457989274,-5.0,-8.100000000000001,-13.100000000000001
1437,300059.SZ,20160525,20.59,20.9,20.2,20.26,20.31,-0.05,-0.25,828077.78,1702923.017,20.229999999999944,20.856499999999976,32.71240000000005,44.241933333333314,44.070199999999986,925860.9080000008,944596.9749999985,0.016027197668771167,0.033492822966507144,-5.0,-10.100000000000001,-15.100000000000001
